k,Tk,Sk
1,0,1
2,0.997625,0.992095
3,1.99525,0.972332
4,2.99287,0.932806
5,4.98812,0.916996
6,5.84323,0.897233
7,6.98337,0.889328
8,7.981,0.881423
9,8.97862,0.86166
10,9.97625,0.84585
11,10.9739,0.837945
12,12.114,0.814229
13,13.1116,0.810277
14,14.1093,0.802372
15,15.1069,0.770751
16,16.1045,0.747036
17,17.1021,0.727273
18,18.0998,0.72332
19,19.0974,0.70751
20,20.095,0.703557
21,21.0926,0.699605
22,22.0903,0.683794
23,23.0879,0.667984
24,24.0855,0.640316
25,25.0831,0.624506
26,26.0808,0.612648
27,27.0784,0.604743
28,28.076,0.592885
29,28.9311,0.577075
30,30.0713,0.557312
31,35.0594,0.541502
32,46.0333,0.513834
33,51.0214,0.470356
34,59.715,0.466403
