age,males,females
0,1,1
1,0.995019,0.995891
2,0.994689,0.995603
3,0.994503,0.995423
4,0.994361,0.995268
5,0.994253,0.99515
6,0.994132,0.995054
7,0.994031,0.99497
8,0.993944,0.994889
9,0.993829,0.994802
10,0.993728,0.994707
11,0.993634,0.994627
12,0.993536,0.994541
13,0.993433,0.994446
14,0.99331,0.994343
15,0.993169,0.994219
16,0.99296,0.994063
17,0.992668,0.993891
18,0.992212,0.993673
19,0.991665,0.993428
20,0.991123,0.99318
21,0.990513,0.992942
22,0.989905,0.992705
23,0.989317,0.992479
24,0.988678,0.992224
25,0.988046,0.991973
26,0.98741,0.991693
27,0.986692,0.991387
28,0.985969,0.991055
29,0.98518,0.990693
30,0.984353,0.990323
31,0.983452,0.989899
32,0.982551,0.989474
33,0.981602,0.988976
34,0.980589,0.988457
35,0.979454,0.987876
36,0.978225,0.987256
37,0.977012,0.986616
38,0.975725,0.985888
39,0.974269,0.985102
40,0.972765,0.984282
41,0.971131,0.983324
42,0.969402,0.982279
43,0.967622,0.981201
44,0.965706,0.980005
45,0.96358,0.978664
46,0.961275,0.977233
47,0.958852,0.975671
48,0.956246,0.974017
49,0.953451,0.972179
50,0.950449,0.970177
51,0.947109,0.967863
52,0.943447,0.96545
53,0.939467,0.96272
54,0.935131,0.959818
55,0.93045,0.956462
56,0.925157,0.953011
57,0.919399,0.949233
58,0.913211,0.945163
59,0.906583,0.940746
60,0.89941,0.935864
61,0.891556,0.930605
62,0.883288,0.924899
63,0.874351,0.918892
64,0.864354,0.912265
65,0.853437,0.904939
66,0.841747,0.897101
67,0.828913,0.888533
68,0.815153,0.879267
69,0.799883,0.869003
70,0.783439,0.857809
71,0.766178,0.845437
72,0.747472,0.832224
73,0.727261,0.817792
74,0.70551,0.801857
75,0.682485,0.78441
76,0.65759,0.765556
77,0.630823,0.744704
78,0.602481,0.722137
79,0.572347,0.697232
80,0.540452,0.669968
81,0.506494,0.640321
82,0.471014,0.608503
83,0.434631,0.574654
84,0.397786,0.538579
85,0.359598,0.500677
86,0.321263,0.461034
87,0.283329,0.420122
88,0.246897,0.37836
89,0.212294,0.336017
90,0.18139,0.295761
91,0.153155,0.255598
92,0.127681,0.217938
93,0.10378,0.180955
94,0.082129,0.146913
95,0.063421,0.116429
96,0.047687,0.090161
97,0.034978,0.068036
98,0.024956,0.050166
99,0.017399,0.03576
100,0.011951,0.024916
101,0,0
